Date,Open,High,Low,Close,Adj Close,Volume,label,D_5,STO_k_5,STO_d_5,Williams,Roc,Momentum,AD_OS
2006-10-02,1335.819946,1338.540039,1330.280029,1331.319946,1331.319946,2154480000,0.0,-0.30982030945482947,-0.6025280615660541,0.950844694566287,-0.602528061566046,0.0902754011053251,0.07718734059509265,-0.43298193569039867
2006-10-03,1331.319946,1338.310059,1327.099976,1334.109985,1334.109985,2682690000,1.0,-0.11507487774945642,-0.19752842683445745,0.5519494195576842,-0.19752842683444904,-0.12972515367882295,-0.134817938628879,0.22206183845083183
2006-10-04,1333.810059,1350.199951,1331.47998,1350.199951,1350.199951,3019880000,1.0,0.6878041047836216,1.2608662529502035,0.6561706199102917,1.2608662529502117,0.3526846659467762,0.3325402942432715,0.7409203701442242
2006-10-05,1349.839966,1353.790039,1347.75,1353.219971,1353.219971,2817240000,1.0,0.695355955547391,1.1943265234312122,0.679107742215303,1.1943265234312201,0.374155308300263,0.3540647829989783,0.1579076570583635
2006-10-06,1353.219971,1353.219971,1344.209961,1349.589966,1349.589966,2523000000,0.0,0.31246198400507014,0.770623472474853,0.676490324427352,0.7706234724748605,0.35687304664730757,0.336373669578637,-1.149136582169559
2006-10-09,1349.579956,1352.689941,1346.550049,1350.660034,1350.660034,1935170000,1.0,0.1446185852037203,0.8955244233911104,1.0949414319411288,0.8955244233911177,0.5294116841489712,0.5015002227791476,-0.03888245707675911
2006-10-10,1350.619995,1354.22998,1348.599976,1353.420044,1353.420044,2376140000,1.0,0.07856955530323415,1.149955598277731,1.4713342408228818,1.1499555982777385,0.527260185656536,0.5006147766198018,0.24523293365653026
2006-10-11,1353.280029,1353.969971,1343.569946,1349.949951,1349.949951,2521000000,0.0,-0.12477704032206481,0.01005411015338564,1.1219447957261202,0.010054110153392849,-0.06907039121074102,-0.07614033071379782,-1.0328591062792096
2006-10-12,1349.939941,1363.76001,1349.939941,1362.829956,1362.829956,2514350000,1.0,0.5259557528759009,1.1173588066704052,1.1004453979114375,1.1173588066704123,0.22734939485554614,0.21459482028869856,1.0482691781776374
2006-10-13,1362.819946,1366.630005,1360.5,1365.619995,1365.619995,2482920000,1.0,0.4999781023821709,1.1244176081956376,1.1992707390866337,1.124417608195645,0.4216397408679808,0.4038986033860004,0.2140437262980705
2006-10-16,1365.609985,1370.199951,1364.47998,1369.060059,1369.060059,2305920000,1.0,0.48434195251083656,1.1275152075648058,1.2640727413831343,1.1275152075648132,0.4926368951436699,0.473781178758608,0.611592002191578
2006-10-17,1369.050049,1369.050049,1356.869995,1364.050049,1364.050049,2519620000,0.0,0.06263727272242339,0.5414157605196378,1.0940892650809608,0.5414157605196448,0.2579651811476108,0.2446715058744824,-1.150943797074528
2006-10-18,1363.930054,1372.869995,1360.949951,1365.800049,1365.800049,2658840000,1.0,-0.02116114370541742,0.3003272900356904,1.175171293129377,0.3003272900356976,0.4160888500700093,0.3985930916174667,0.4779587669569327
2006-10-19,1365.949951,1368.089966,1362.060059,1366.959961,1366.959961,2619830000,1.0,-0.0015361669797910235,0.1101348535911716,0.8938233544472017,0.11013485359117857,0.06173915940470252,0.053010110698301444,-0.31404508211840065
2006-10-20,1366.939941,1368.660034,1362.099976,1368.599976,1368.599976,2526410000,1.0,0.05981677191752681,0.42945903276167163,0.6997005259837827,0.42945903276167857,0.027230106201381672,0.019100079263517113,-0.5792547302269553
2006-10-23,1368.579956,1377.400024,1363.939941,1377.02002,1377.02002,2480430000,1.0,0.46060234147917684,1.2032025440989564,0.7208422750983922,1.2032025440989633,0.17497914439098192,0.16594160460959262,0.2885434441228146
